City,County,State,Accidents
Amelia Court House,Amelia,VA,6
Amenia,Dutchess,NY,11
American Canyon,Napa,CA,80
American Canyon,Solano,CA,63
American Fork,Utah,UT,54
Americus,Sumter,GA,1
Ames,Boone,IA,1
Ames,Story,IA,16
Amesbury,Essex,MA,18
Amherst,Amherst,VA,9
Amherst,Lorain,OH,13
Amherst,Hampshire,MA,1
Amherst,Hancock,ME,1
Amissville,Rappahannock,VA,1
Amite,Tangipahoa,LA,1
Amity,Yamhill,OR,29
Amityville,Suffolk,NY,44
Amsterdam,Montgomery,NY,38
Anacortes,Skagit,WA,18
Anaheim,Orange,CA,2184
Anaheim-Santa Ana-Garden Grove,Orange,CA,1
Anahuac,Chambers,TX,1
Anamosa,Jones,IA,2
Anatone,Asotin,WA,2
Ancram,Columbia,NY,8
Andalusia,Covington,AL,7
Anderson,Anderson,SC,881
Anderson,Shasta,CA,72
Anderson,Madison,IN,12
Anderson,Limestone,AL,1
Anderson,Tehama,CA,1
Andover,Essex,MA,136
Andover,Merrimack,NH,2
Andover,Ashtabula,OH,1
Andover,Sussex,NJ,2
Andreas,Schuylkill,PA,1
Andrews,Georgetown,SC,14
Andrews,Williamsburg,SC,21
Andrews Air Force Base,Prince George's,MD,11
Aneth,San Juan,UT,2
Angels Camp,Calaveras,CA,38
Angier,Wake,NC,3
Angier,Harnett,NC,2
Angier,Johnston,NC,4
Angleton,Brazoria,TX,1
Angola,Erie,NY,1
Angola,Steuben,IN,1
Angora,St. Louis,MN,4
Angwin,Napa,CA,6
Anita,Cass,IA,8
Ankeny,Polk,IA,41
Ann Arbor,Washtenaw,MI,64
Anna,Shelby,OH,7
Anna,Collin,TX,4
Annandale,Fairfax County,VA,132
Annandale,Fairfax,VA,5
Annandale,Wright,MN,12
Annandale,Hunterdon,NJ,2
Annapolis,Anne Arundel,MD,124
Annapolis,Sonoma,CA,7
Annapolis Junction,Anne Arundel,MD,4
Annapolis Junction,Howard,MD,1
Anniston,Calhoun,AL,16
Annville,Lebanon,PA,54
Anoka,Anoka,MN,77
Ansonia,New Haven,CT,7
Antelope,Sacramento,CA,144
Antelope,Wasco,OR,16
Anthony,Marion,FL,2
Antioch,Davidson,TN,713
Antioch,Contra Costa,CA,255
Antioch,Lake,IL,79
Anton Chico,Guadalupe,NM,2
Antrim,Hillsborough,NH,3
Apache Junction,Pinal,AZ,31
Apache Junction,Maricopa,AZ,1
Apalachicola,Franklin,FL,1
Apex,Wake,NC,162
Apex,Chatham,NC,2
Apison,Hamilton,TN,4
Apollo,Westmoreland,PA,2
Apollo Beach,Hillsborough,FL,62
Apopka,Orange,FL,130
Apopka,Seminole,FL,12
Apple Valley,San Bernardino,CA,122
Apple Valley,Washington,UT,2
Applegate,Placer,CA,20
Appleton,Outagamie,WI,44
Appleton,Winnebago,WI,1
Appleton,Swift,MN,3
Appleton,Calumet,WI,1
Appleton,Niagara,NY,1
Appling,Columbia,GA,1
Appomattox,Appomattox,VA,7
Aptos,Santa Cruz,CA,168
Arab,Cullman,AL,4
Arab,Marshall,AL,1
Arab,Blount,AL,3
Arabi,Crisp,GA,1
Arabi,St. Bernard,LA,4
Ararat,Patrick,VA,1
Arbuckle,Colusa,CA,38
Arcadia,DeSoto,FL,17
Arcadia,Los Angeles,CA,175
Arcadia,Benzie,MI,1
Arcadia,Bienville,LA,1
Arcadia,Sarasota,FL,2
Arcadia,Oklahoma,OK,4
Arcadia,De Soto,FL,4
Arcadia West,DeSoto,FL,1
Arcata,Humboldt,CA,40
Arch Cape,Clatsop,OR,5
Archbald,Lackawanna,PA,1
Archbold,Fulton,OH,1
Archer,Alachua,FL,5
Arco,Butte,ID,2
Arcola,Douglas,IL,2
Arden,Buncombe,NC,46
Arden,Henderson,NC,2
Ardmore,Montgomery,PA,24
Ardmore,Limestone,AL,15
Ardmore,Madison,AL,2
Ardmore,Lincoln,TN,1
Ardmore,Giles,TN,5
Ardmore,Carter,OK,2
Ardmore,Delaware,PA,3
Ardsley,Westchester,NY,16
Argos,Marshall,IN,1
Argyle,Washington,NY,1
Argyle,Denton,TX,9
Ariel,Cowlitz,WA,5
Ariton,Dale,AL,2
Arkadelphia,Hot Spring,AR,1
Arlee,Lake,MT,1
Arleta,Los Angeles,CA,12
Arlington,Tarrant,TX,265
Arlington,Arlington,VA,299
Arlington,Shelby,TN,53
Arlington,Gilliam,OR,122
Arlington,Snohomish,WA,89
Arlington,Fayette,TN,8
Arlington,Middlesex,MA,10
Arlington,Sibley,MN,9
Arlington,Maricopa,AZ,1
Arlington,Columbia,WI,2
Arlington Heights,Cook,IL,57
Armona,Kings,CA,18
Armonk,Westchester,NY,35
Arnold,Jefferson,MO,56
Arnold,Calaveras,CA,25
Arnold,Anne Arundel,MD,8
Arnold,Alpine,CA,2
Aromas,Monterey,CA,31
Aromas,San Benito,CA,6
Arrington,Rutherford,TN,3
Arrington,Nelson,VA,4
Arrington,Williamson,TN,1
Arroyo Grande,San Luis Obispo,CA,85
Artesia,Los Angeles,CA,89
Artois,Glenn,CA,1
Arvada,Jefferson,CO,94
Arvada,Adams,CO,8
Arvin,Kern,CA,74
Asbury,Hunterdon,NJ,16
Asbury,Warren,NJ,2
Asbury Park,Monmouth,NJ,9
Ascutney,Windsor,VT,1
Ash Fork,Yavapai,AZ,10
Ash Grove,Lawrence,MO,6
Ash Grove,Greene,MO,1
Ashaway,Washington,RI,1
Ashburn,Loudoun,VA,55
Ashburn,Turner,GA,2
Ashburnham,Worcester,MA,1
Ashby,Middlesex,MA,2
Ashby,Grant,MN,15
Ashby,Otter Tail,MN,1
Asheboro,Randolph,NC,20
Asher,Pottawatomie,OK,1
Asheville,Buncombe,NC,271
Ashfield,Franklin,MA,1
Ashford,Windham,CT,1
Ashford,Houston,AL,1
Ashkum,Iroquois,IL,1
Ashland,Jackson,OR,214
Ashland,Cass,NE,5
Ashland,Ashland,OH,2
Ashland,Hanover,VA,52
Ashland,Grafton,NH,10
Ashland,Schuylkill,PA,1
Ashland,Middlesex,MA,3
Ashland City,Davidson,TN,6
Ashland City,Cheatham,TN,3
Ashley,Delaware,OH,3
Ashtabula,Ashtabula,OH,2
Ashton,Lee,IL,2
Ashton,Montgomery,MD,10
Ashville,Pickaway,OH,12
Ashville,Chautauqua,NY,2
Ashville,St. Clair,AL,3
Askov,Pine,MN,3
Aspers,Adams,PA,26
Assonet,Bristol,MA,19
Aston,Delaware,PA,13
Astor,Volusia,FL,1
Astor,Lake,FL,1
Astoria,Queens,NY,48
Astoria,Clatsop,OR,94
Atalissa,Cedar,IA,1
Atascadero,San Luis Obispo,CA,85
Atglen,Chester,PA,1
Athena,Umatilla,OR,10
Athens,Limestone,AL,169
Athens,McMinn,TN,3
Athens,Clarke,GA,15
Athens,Marathon,WI,1
Atherton,San Mateo,CA,7
Athol,Warren,NY,1
Athol,Kootenai,ID,3
Atkins,Smyth,VA,4
Atkins,Benton,IA,1
Atkins,Pope,AR,1
Atlanta,Fulton,GA,2533
Atlanta,Cobb,GA,210
Atlanta,DeKalb,GA,629
Atlanta,Clayton,GA,158
Atlanta,Logan,IL,2
Atlanta-Decatur,DeKalb,GA,1
Atlantic,Cass,IA,8
Atlantic City,Atlantic,NJ,11
Atmore,Escambia,AL,6
Atoka,Tipton,TN,1
Attalla,Etowah,AL,7
Attapulgus,Decatur,GA,1
Attleboro,Bristol,MA,54
Attleboro Falls,Bristol,MA,15
Atwater,Merced,CA,172
Atwater,Kandiyohi,MN,9
Atwater,Meeker,MN,2
Atwood,Logan,CO,1
Auberry,Fresno,CA,6
Aubrey,Denton,TX,8
Auburn,Placer,CA,200
Auburn,Worcester,MA,39
Auburn,King,WA,132
Auburn,Lee,AL,26
Auburn,Rockingham,NH,13
Auburn,Pierce,WA,1
Auburn,Macon,AL,2
Auburn,Nevada,CA,10
Auburn,Androscoggin,ME,3
Auburn,Cayuga,NY,1
Auburn,Sangamon,IL,1
Auburn Hills,Oakland,MI,31
Auburndale,Wood,WI,2
Auburndale,Middlesex,MA,8
Auburndale,Polk,FL,8
Audubon,Camden,NJ,7
Audubon,Becker,MN,2
Augusta,Richmond,GA,980
Augusta,Columbia,GA,18
Augusta,Kennebec,ME,5
Augusta,Kalamazoo,MI,2
Ault,Weld,CO,2
Aumsville,Marion,OR,21
Aurelia,Cherokee,IA,4
Aurora,Arapahoe,CO,581
Aurora,Adams,CO,175
Aurora,Kane,IL,29
Aurora,Dearborn,IN,2
Aurora,Kendall,IL,3
Aurora,DuPage,IL,17
Aurora,Sevier,UT,1
Aurora,Denver,CO,4
Aurora,Marion,OR,72
Aurora,Geauga,OH,1
Aurora,Clackamas,OR,50
Aurora,Portage,OH,1
Aurora,St. Louis,MN,7
Aurora,Cayuga,NY,2
Austell,Cobb,GA,78
Austell,Douglas,GA,2
Austerlitz,Columbia,NY,1
Austin,Travis,TX,4923
Austin,Williamson,TX,182
Austin,Mower,MN,61
Austin,Lander,NV,6
Austin,Hays,TX,2
Austin,Scott,IN,1
Austin,Lonoke,AR,4
Austin,Freeborn,MN,5
Austinburg,Ashtabula,OH,1
Austinville,Wythe,VA,4
Autaugaville,Autauga,AL,3
Ava,Oneida,NY,2
Avalon,Rock,WI,1
Avalon-Mulat,Santa Rosa,FL,1
Avella,Washington,PA,4
Avenal,Kings,CA,33
Avenel,Middlesex,NJ,13
Averill Park,Rensselaer,NY,11
Avila Beach,San Luis Obispo,CA,2
Avoca,Pottawattamie,IA,1
Avon,Stearns,MN,30
Avon,Lorain,OH,38
Avon,Hartford,CT,8
Avon,Norfolk,MA,17
Avon,Eagle,CO,3
Avon,Hendricks,IN,6
Avon Lake,Lorain,OH,1
Avon Park,Highlands,FL,16
Avondale,Chester,PA,39
Avondale,Maricopa,AZ,202
Avondale,Pueblo,CO,1
Avondale Estates,DeKalb,GA,3
Avonmore,Westmoreland,PA,1
Awendaw,Charleston,SC,2
Axtell,Sanpete,UT,2
Axton,Henry,VA,2
Ayer,Middlesex,MA,1
Aylett,King William,VA,2
Aynor,Horry,SC,27
Azalea,Douglas,OR,6
Azle,Tarrant,TX,1
Azusa,Los Angeles,CA,372
Babson Park,Polk,FL,1
Babylon,Suffolk,NY,15
Babylon,Nassau,NY,8
Backus,Cass,MN,17
Bacliff,Galveston,TX,1
Baconton,Mitchell,GA,3
Bagley,Clearwater,MN,7
Bahama,Durham,NC,1
Bailey,Muskegon,MI,1
Bailey,Park,CO,10
Bailey,Nash,NC,1
Baileyton,Cullman,AL,2
Baileyton,Morgan,AL,1
Bainbridge,Lancaster,PA,5
Bainbridge,Chenango,NY,1
Bainbridge Island,Kitsap,WA,1
Baird,Callahan,TX,1
Baker,East Baton Rouge,LA,50
Baker,Okaloosa,FL,2
Baker,White Pine,NV,2
Baker City,Baker,OR,118
Bakersfield,Kern,CA,2196
Bakerstown,Allegheny,PA,1
Bala Cynwyd,Montgomery,PA,89
Balaton,Lyon,MN,5
Balch Springs,Dallas,TX,54
Baldwin,Nassau,NY,4
Baldwin,St. Croix,WI,9
Baldwin,Harford,MD,1
Baldwin,Banks,GA,1
Baldwin Park,Los Angeles,CA,1012
Baldwinsville,Onondaga,NY,44
Ball Ground,Cherokee,GA,6
Ballico,Merced,CA,4
Ballston Lake,Saratoga,NY,23
Ballston Spa,Saratoga,NY,72
Ballwin,St. Louis County,MO,30
Baltimore,Baltimore City,MD,1324
Baltimore,Baltimore County,MD,63
Baltimore,Fairfield,OH,2
Baltimore,Anne Arundel,MD,10
Bamberg,Bamberg,SC,10
Bancroft,Shiawassee,MI,2
Bandon,Coos,OR,30
Bangor,Northampton,PA,1
Bangor,Butte,CA,1
Bangor,Penobscot,ME,3
Bangor,Van Buren,MI,2
Banks,Bullock,AL,1
Banks,Pike,AL,11
Banks,Washington,OR,43
Bantam,Litchfield,CT,1
Baraboo,Sauk,WI,8
Barberton,Summit,OH,21
Barboursville,Cabell,WV,1
Barboursville,Albemarle,VA,1
Barclay,Queen Anne's,MD,5
Barco,Currituck,NC,3
Bargersville,Johnson,IN,4
Barhamsville,New Kent,VA,4
Baring,King,WA,1
