State, Accidents
AK,0
AL,19239
AR,991
AZ,24528
CA,213362
CO,17588
CT,5455
DE,1620
FL,60305
GA,23712
HI,0
IA,2842
ID,554
IL,19961
IN,7767
KS,1995
KY,6832
LA,18976
MA,9344
MD,12451
ME,636
MI,20350
MN,29524
MO,9127
MS,1985
MT,157
NC,45992
ND,17
NE,4642
NH,2218
NJ,13003
NM,1616
NV,3002
NY,42936
OH,13233
OK,20482
OR,41172
PA,20100
RI,2973
SC,58991
SD,27
TN,21131
TX,78709
UT,24616
VA,25702
VT,224
WA,14688
WI,6889
WV,473
WY,112
