County,State,Accidents
Abbeville,SC,74
Acadia,LA,22
Accomack,VA,2
Ada,ID,50
Adair,IA,11
Adams,CO,1577
Adams,PA,92
Adams,WA,3
Adams,OH,1
Adams,ID,3
Adams,IN,4
Adams,WI,3
Addison,VT,7
Aiken,SC,368
Aitkin,MN,74
Alachua,FL,110
Alamance,NC,69
Alameda,CA,8948
Albany,NY,494
Albany,WY,1
Albemarle,VA,146
Alcorn,MS,1
Alexander,NC,9
Alexandria,VA,176
Alexandria City,VA,5
Allamakee,IA,4
Allegan,MI,45
Allegany,MD,18
Allegany,NY,1
Alleghany,VA,12
Allegheny,PA,1296
Allen,IN,129
Allen,OH,17
Allendale,SC,16
Alpine,CA,48
Amador,CA,217
Amelia,VA,10
Amherst,VA,16
Anderson,SC,1969
Anderson,TN,11
Andrew,MO,1
Androscoggin,ME,9
Angelina,TX,3
Anne Arundel,MD,933
Anoka,MN,701
Anson,NC,6
Antrim,MI,1
Apache,AZ,32
Appomattox,VA,12
Arapahoe,CO,1065
Arenac,MI,3
Arkansas,AR,1
Arlington,VA,306
Armstrong,PA,4
Armstrong,TX,1
Aroostook,ME,9
Ascension,LA,58
Ashe,NC,1
Ashland,OH,2
Ashley,AR,1
Ashtabula,OH,14
Asotin,WA,3
Assumption,LA,2
Atascosa,TX,1
Athens,OH,1
Atkinson,GA,1
Atlantic,NJ,197
Auglaize,OH,8
Augusta,VA,173
Austin,TX,6
Autauga,AL,125
Avery,NC,4
Baca,CO,6
Bacon,GA,1
Baker,FL,83
Baker,OR,289
Baker,GA,4
Baldwin,AL,166
Baldwin,GA,3
Baltimore,MD,64
Baltimore City,MD,1468
Baltimore County,MD,1555
Bamberg,SC,32
Banks,GA,17
Bannock,ID,13
Barbour,AL,20
Barnstable,MA,135
Barnwell,SC,38
Barron,WI,2
Barrow,GA,11
Barry,MI,19
Bartholomew,IN,12
Bartow,GA,62
Bastrop,TX,9
Bay,FL,216
Bay,MI,24
Bayfield,WI,2
