City,County,State,Accidents
Aaronsburg,Centre,PA,2
Abbeville,Henry,AL,6
Abbeville,Abbeville,SC,68
Abbotsford,Marathon,WI,5
Abbotsford,Clark,WI,1
Abbott,Hill,TX,3
Abbottstown,York,PA,4
Aberdeen,Harford,MD,88
Aberdeen,Moore,NC,3
Aberdeen,Grays Harbor,WA,23
Aberdeen,Hoke,NC,1
Aberdeen Proving Ground,Harford,MD,1
Abilene,Taylor,TX,13
Abilene,Callahan,TX,1
Abingdon,Harford,MD,58
Abingdon,Washington,VA,68
Abington,Montgomery,PA,106
Abington,Plymouth,MA,5
Absecon,Atlantic,NJ,35
Acampo,San Joaquin,CA,139
Accokeek,Prince George's,MD,15
Accomac,Accomack,VA,3
Accord,Ulster,NY,2
Ackerman,Choctaw,MS,2
Acme,Westmoreland,PA,9
Acme,Whatcom,WA,2
Acton,Los Angeles,CA,395
Acton,Middlesex,MA,49
Acushnet,Bristol,MA,1
Acworth,Bartow,GA,22
Acworth,Cherokee,GA,47
Acworth,Cobb,GA,15
Ada,Kent,MI,5
Adah,Fayette,PA,1
Adair,Adair,IA,15
Adair Village,Benton,OR,1
Adairsville,Bartow,GA,14
Adairsville,Gordon,GA,4
Adams,Umatilla,OR,24
Adams Center,Jefferson,NY,3
Adams Run,Charleston,SC,9
Adamstown,Frederick,MD,14
Adamsville,Jefferson,AL,4
Addis,West Baton Rouge,LA,1
Addison,DuPage,IL,128
Addison,Dallas,TX,19
Addison,Winston,AL,4
Addison,Somerset,PA,3
Addison,Lenawee,MI,1
Addison,Steuben,NY,3
Addy,Stevens,WA,1
Addyston,Hamilton,OH,1
Adel,Dallas,IA,9
Adel,Lake,OR,56
Adel,Cook,GA,8
Adelanto,San Bernardino,CA,30
Adelphi,Prince George's,MD,3
Adelphi,Prince Georges,MD,1
Adkins,Bexar,TX,4
Adrian,Nobles,MN,34
Adrian,Oldham,TX,4
Adrian,Lenawee,MI,1
Advance,Davie,NC,19
Afton,Washington,MN,17
Afton,Albemarle,VA,4
Afton,Nelson,VA,10
Afton,Greene,TN,3
Afton,Augusta,VA,1
Agate,Elbert,CO,13
Agawam,Hampden,MA,2
Agency,Wapello,IA,3
Agoura Hills,Los Angeles,CA,182
Aguilar,Las Animas,CO,8
Ahoskie,Bertie,NC,2
Ahoskie,Hertford,NC,3
Ahwahnee,Mariposa,CA,3
Ahwahnee,Madera,CA,12
Aiken,Aiken,SC,427
Ailey,Montgomery,GA,1
Ainsworth,Washington,IA,1
Ainsworth,Brown,NE,1
Airmont,Rockland,NY,2
Airville,York,PA,5
Airway Heights,Spokane,WA,5
Aitkin,Aitkin,MN,42
Aitkin,Crow Wing,MN,2
Ajo,Pima,AZ,13
Akeley,Hubbard,MN,9
Akeley,Cass,MN,5
Akron,Summit,OH,488
Akron,Erie,NY,7
Akron,Fulton,IN,1
Akron,Lancaster,PA,6
Akron,Genesee,NY,1
Akron,Washington,CO,7
Alabaster,Shelby,AL,79
Alachua,Alachua,FL,75
Alameda,Alameda,CA,4
Alamo,Contra Costa,CA,429
Alamo,Hidalgo,TX,3
Alamo,Lincoln,NV,20
Alamo,Laurens,GA,1
Alamogordo,Otero,NM,1
Alamosa,Alamosa,CO,2
Alanson,Emmet,MI,1
Albany,Albany,NY,975
Albany,Linn,OR,542
Albany,Benton,OR,31
Albany,Dougherty,GA,20
Albany,Stearns,MN,15
Albany,Worth,GA,2
Albany,Carroll,NH,1
Albemarle,Stanly,NC,2
Albers,Clinton,IL,1
Albert Lea,Freeborn,MN,122
Alberta,Brunswick,VA,21
Alberton,Missoula,MT,1
Albertson,Nassau,NY,2
Albertville,Marshall,AL,12
Albertville,Wright,MN,58
Albertville,DeKalb,AL,7
Albia,Monroe,IA,1
Albion,Mendocino,CA,17
Albion,Dane,WI,1
Albion,Orleans,NY,3
Albion,Jackson,MI,6
Albion,Erie,PA,1
Albion,Calhoun,MI,6
Albrightsville,Monroe,PA,1
Albuquerque,Bernalillo,NM,1219
Alburgh,Grand Isle,VT,2
Alburtis,Berks,PA,1
Alcoa,Blount,TN,9
Alcolu,Clarendon,SC,38
Alcova,Natrona,WY,1
Aldan,Delaware,PA,3
Alden,Erie,NY,5
Alden,Freeborn,MN,12
Alden,Hardin,IA,1
Aldie,Loudoun,VA,74
Aldrich,Todd,MN,1
Aledo,Tarrant,TX,20
Aledo,Parker,TX,9
Alexander,Saline,AR,1
Alexander City,Coosa,AL,2
Alexander City,Tallapoosa,AL,10
Alexandria,Fairfax County,VA,311
Alexandria,Alexandria,VA,413
Alexandria,Rapides,LA,20
Alexandria,Douglas,MN,50
Alexandria,Campbell,KY,8
Alexandria,Huntingdon,PA,1
Alexandria,Licking,OH,1
Alexandria,Calhoun,AL,3
Alexandria,Madison,IN,2
